tconst	averageRating	numVotes
tt5881528	5.5	5150
tt9579634	7.3	8
tt5949182	6.6	10
tt5949186	7.4	13
tt10681122	9.0	80
tt4998954	7.2	99
tt5528044	7.1	23
tt10681104	7.5	11
tt8521876	5.7	23181
tt8799942	8.0	9
tt14484702	7.5	147
tt14484704	7.4	132
tt13323626	6.5	920
tt14063674	7.0	71
tt10260042	7.0	1595
tt6950594	5.6	145
tt6950598	6.4	26
tt14484710	7.8	155
tt10274660	8.4	6
tt16227404	4.6	91
tt6950582	8.2	27
tt4313538	8.5	17
tt13298482	6.1	71
tt10260382	7.3	86
tt13298472	6.7	9
tt5592778	6.0	6
tt10984338	7.1	10
tt5817372	7.0	7
tt5817374	6.4	594
tt8942908	5.3	217
tt15012610	6.9	16
tt6950432	4.2	39
tt8350368	5.8	48
tt11646840	6.8	12
tt6675890	4.9	12
tt6675892	5.1	15
tt11646838	6.9	15
tt12661406	6.0	15
tt7508606	9.2	3375
tt10695592	7.0	27
tt10695596	7.1	24
tt10695586	8.2	42
tt7205292	8.0	6
tt7690438	5.9	11
tt7508630	5.2	1005
tt12372270	8.8	134
tt6240606	5.2	68
tt9433484	6.0	11
tt7508628	8.1	2062
tt3480822	6.7	351529
tt12240816	7.8	6
tt15433202	8.2	63
tt15433204	8.3	64
tt6004984	7.7	52
tt12386856	6.9	11
tt7913788	7.6	503
tt9433446	4.0	5
tt13441166	5.5	8
tt9090324	6.0	9
tt10392194	7.1	57
tt13034794	6.9	184
tt5107560	6.4	26
tt16359412	6.5	89
tt16359414	6.5	89
tt6372460	5.8	67
tt4024490	5.5	75
tt12386828	8.2	23
tt14195448	8.2	14
tt9090362	6.5	33
tt8521964	7.6	16
tt11764002	8.0	32
tt13034806	6.5	214
tt14827632	6.4	5
tt14827626	6.6	12
tt4602342	6.0	128
tt14484640	9.0	4611
tt13034822	6.9	155
tt8061228	5.5	25
tt8061212	6.5	338
tt13034846	6.7	81
tt5460986	6.9	1743
tt13876312	8.9	680
tt5528104	6.5	9
